date,currency,rate,sma7,pct_change,signal
2026-01-02,EUR,4.2156,,,stable
2026-01-05,EUR,4.211,,-0.10911851219280733,stable
2026-01-07,EUR,4.2105,,-0.011873664212791457,stable
2026-01-08,EUR,4.2119,,0.033250207813795285,stable
2026-01-09,EUR,4.2127,,0.018993803271682985,stable
2026-01-12,EUR,4.2097,,-0.07121323616683384,stable
2026-01-13,EUR,4.2116,4.211857142857143,0.045133857519541465,stable
2026-01-14,EUR,4.211,4.2112,-0.014246367176362629,stable
2026-01-15,EUR,4.2068,4.2106,-0.09973877938731501,stable
2026-01-16,EUR,4.2192,4.211842857142857,0.29476086336406304,stable
2026-01-19,EUR,4.2231,4.213442857142857,0.09243458475540756,stable
2026-01-20,EUR,4.2279,4.2156142857142855,0.1136605810897251,stable
2026-01-21,EUR,4.2271,4.2181,-0.018921923413517394,stable
2026-01-22,EUR,4.2128,4.218271428571429,-0.33829339263325986,stable
2026-01-23,EUR,4.205,4.217414285714286,-0.1851500189897326,stable
2026-01-26,EUR,4.2118,4.218128571428571,0.16171224732461909,stable
2026-01-27,EUR,4.2032,4.2158428571428574,-0.20418823305951017,stable
2026-01-28,EUR,4.2009,4.212671428571428,-0.05472021317091125,stable
2026-01-29,EUR,4.2072,4.209714285714286,0.14996786402914353,stable
2026-01-30,EUR,4.2131,4.207714285714286,0.14023578627113675,stable
2026-02-02,EUR,4.2106,4.2074,-0.05933872920176331,stable
2026-02-03,EUR,4.2198,4.209514285714286,0.21849617631690688,stable
2026-02-04,EUR,4.2241,4.211271428571429,0.10190056400776193,stable
2026-02-05,EUR,4.2175,4.213314285714286,-0.15624630098718395,stable
2026-02-06,EUR,4.2155,4.215400000000001,-0.047421458209850886,stable
2026-02-09,EUR,4.2142,4.2164,-0.03083857193688644,stable
2026-02-10,EUR,4.2148,4.216642857142857,0.01423757771346068,stable
2026-02-11,EUR,4.2174,4.217614285714286,0.061687387301878616,stable
2026-02-12,EUR,4.2131,4.216657142857143,-0.1019585526627731,stable
2026-02-13,EUR,4.214,4.215214285714286,0.02136194251265433,stable
2026-02-16,EUR,4.208,4.213857142857143,-0.14238253440911341,stable
2026-02-17,EUR,4.2182,4.214242857142858,0.242395437262366,stable
2026-02-18,EUR,4.2148,4.214328571428572,-0.08060310084870848,stable
2026-02-19,EUR,4.222,4.215357142857143,0.1708266109898382,stable
2026-02-20,EUR,4.2241,4.216314285714286,0.04973945997157614,stable
2026-02-23,EUR,4.2173,4.216914285714286,-0.16098103738074743,stable
2026-02-24,EUR,4.2193,4.217671428571429,0.04742370711117161,stable
2026-02-25,EUR,4.2183,4.219142857142857,-0.023700613845889507,stable
2026-02-26,EUR,4.2224,4.219742857142857,0.09719555271081592,stable
2026-02-27,EUR,4.2233,4.220957142857143,0.021314892004542507,stable
2026-03-02,EUR,4.2304,4.222157142857143,0.16811498117585977,stable
2026-03-03,EUR,4.2732,4.229171428571429,1.011724659606661,increase
2026-03-04,EUR,4.2685,4.236485714285714,-0.10998783113357335,stable
2026-03-05,EUR,4.2739,4.244285714285715,0.12650814103314367,stable
2026-03-06,EUR,4.2782,4.252842857142857,0.10061068345070812,stable
2026-03-09,EUR,4.2836,4.261585714285714,0.12622130802673048,stable
2026-03-10,EUR,4.2555,4.266185714285714,-0.6559902885423519,stable
2026-03-11,EUR,4.274,4.2724142857142855,0.43473152391024783,stable
2026-03-12,EUR,4.2629,4.270942857142857,-0.2597098736546566,stable
2026-03-13,EUR,4.2693,4.271057142857143,0.1501325388819863,stable
2026-03-16,EUR,4.2694,4.270414285714286,0.0023423043590264925,stable
2026-03-17,EUR,4.2666,4.268757142857143,-0.06558298589964817,stable
2026-03-18,EUR,4.2613,4.265571428571429,-0.12422069094829569,stable
2026-03-19,EUR,4.2782,4.268814285714286,0.39659258911599604,stable
2026-03-20,EUR,4.2768,4.269214285714286,-0.03272404282175234,stable
2026-03-23,EUR,4.2867,4.272614285714286,0.23148148148148806,stable
2026-03-24,EUR,4.2728,4.273114285714286,-0.3242587538199504,stable
2026-03-25,EUR,4.2692,4.273085714285714,-0.0842538850402641,stable
2026-03-26,EUR,4.271,4.273714285714285,0.04216246603578888,stable
2026-03-27,EUR,4.2858,4.277214285714286,0.3465230625146365,stable
2026-03-30,EUR,4.2832,4.277928571428571,-0.060665453357600096,stable
2026-03-31,EUR,4.2894,4.2797285714285715,0.14475158759805762,stable
